Phenotype,MeSH Heading/Name of Substance,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Notes,Heading Mapped to
OROFACIODIGITAL SYNDROME V,Orofaciodigital syndrome 5,C05.116.099.370.652,C05.660.207.700,C16.131.077.677,C16.131.260.830.670,C16.131.621.207.700,C16.320.180.830.670,,,,,,,,,,,,,,,,Ofd5; Ofds V not included,*Orofaciodigital Syndromes
"POLYOSTOTIC OSTEOLYTIC DYSPLASIA, HEREDITARY EXPANSILE","Polyostotic osteolytic dysplasia, hereditary expansile",C05.116.264.579,G11.427.590.195.150.570,,,,,,,,,,,,,,,,,,,,,*Osteolysis
JUVENILE POLYPOSIS SYNDROME,Juvenile polyposis syndrome,C06.405.469.578,C04.700,C16.320.700,,,,,,,,,,,,,,,,,,,A hereditary form of intestinal polyposis where POLYPS first appear by age 20. Diagnosis is based on the presence of HARMATOMA - like gastrointestinal polyps that become malignant lesions by age 35  in 20% of cases. Germline mutations in the SMAD4 and BMPR1A genes have been identified. OMIM: 174900,"Intestinal Polyposis/*congenital;*Neoplastic Syndromes, Hereditary"
JUVENILE POLYPOSIS/HEREDITARY HEMORRHAGIC TELANGIECTASIA SYNDROME,,,,,,,,,,,,,,,,,,,,,,,,
FAMILIAL ADENOMATOUS POLYPOSIS 1,,,,,,,,,,,,,,,,,,,,,,,,
GREIG CEPHALOPOLYSYNDACTYLY SYNDROME,Greig cephalopolysyndactyly syndrome,C05.116.099.370.894.232.015,C05.116.099.370.894.819.100,C05.660.207.240.100,C05.660.585.800.100,C05.660.906.364.100,C05.660.906.819.100,C16.131.621.207.240.100,C16.131.621.585.800.100,C16.131.621.906.364.100,C16.131.621.906.819.100,,,,,,,,,,,,,*Acrocephalosyndactylia
PORENCEPHALY 1,,,,,,,,,,,,,,,,,,,,,,,,
"POROKERATOSIS 1, MIBELLI TYPE",,,,,,,,,,,,,,,,,,,,,,,,
"POROKERATOSIS 3, DISSEMINATED SUPERFICIAL ACTINIC TYPE",,,,,,,,,,,,,,,,,,,,,,,,
"PREAXIAL DEFICIENCY, POSTAXIAL POLYDACTYLY, AND HYPOSPADIAS","Preaxial deficiency, postaxial polydactyly and hypospadias",C05.660.585.600,C16.131.621.585.600,C16.131.077,C12.294.494.400,C12.706.516,C13.351.875.466,C16.131.939.516,,,,,,,,,,,,,,,,"*Polydactyly;*Abnormalities, Multiple;*Hypospadias"
PREMATURE CHROMATID SEPARATION TRAIT,,,,,,,,,,,,,,,,,,,,,,,,
CURRARINO SYNDROME,Currarino triad,A03.556.124.526.767,A03.556.249.249.767,C06.198,C16.131.314,A03.556.124.526.070,A03.556.249.249.070,C10.228.854.833,A02.835.232.834.717,,,,,,,,,,,,,,"A congenital disorder that is characterized by partial sacral agenesis with intact first sacral vertebra, presacral mass and anorectal malformation. Most patients do not present with all three anomalies, and sacral agenesis is the most prevalent. Perianal SEPSIS and CONSTIPATION frequently occur in affected individuals and severe UROGENITAL ABNORMALITIES may also be present. A mutation in the MNX1 gene has been identified in some cases. OMIM: 176450",Rectum/*abnormalities;*Digestive System Abnormalities;Anal Canal/*abnormalities;*Syringomyelia;Sacrum/*abnormalities
"THROMBOPHILIA DUE TO PROTEIN C DEFICIENCY, AUTOSOMAL DOMINANT",,,,,,,,,,,,,,,,,,,,,,,,
"PROTOPORPHYRIA, ERYTHROPOIETIC","Protoporphyria, Erythropoietic",C06.552.830.812,C16.320.850.742.812,C17.800.827.742.812,C18.452.811.400.812,,,,,,,,,,,,,,,,,,"An autosomal dominant porphyria that is due to a deficiency of 
FERROCHELATASE (heme synthetase) in both the 
LIVER and the 
BONE MARROW, the last enzyme in the 8-enzyme biosynthetic pathway of 
HEME. Clinical features include mainly neurological symptoms, rarely cutaneous lesions, and elevated levels of protoporphyrin and 
COPROPORPHYRINS in the feces.;2005; use PORPHYRIA, ERYTHROHEPATIC 1993-2004",
PSEUDOACHONDROPLASIA,Pseudoachondroplasia,C05.116.099.343.110,C05.116.099.708.017,C16.320.240.500,,,,,,,,,,,,,,,,,,,"A hereditary autosomal dominant form of achondroplasia characterized by dwarfism, lower limb abnormalities, BRACHYDACTYLY, loose joints, and ligamentous laxity. Vertebral anomalies usually resolve with age, but affected individuals develop severe OSTEOARTHRITIS. Muations in the COMP gene have been identified. OMIM: 177170",*Achondroplasia
PSEUDO-VON WILLEBRAND DISEASE,"Von Willebrand disease, platelet type",C15.378.100.100.900,C15.378.100.141.900,C15.378.140.900,C15.378.463.920,C16.320.099.920,,,,,,,,,,,,,,,,,An autosomal dominant bleeding disorder characterized by abnormally enhanced binding of VON WILLEBRAND FACTOR by the PLATELET GLYCOPROTEIN GPIB-IX COMPLEX. Mutations in the GP1BA gene have been identified. OMIM: 177820,*von Willebrand Diseases
PSORIASIS SUSCEPTIBILITY 1,,,,,,,,,,,,,,,,,,,,,,,,
"PTOSIS, HEREDITARY CONGENITAL 1","Ptosis, Hereditary Congenital 1",C11.338.204,,,,,,,,,,,,,,,,,,,,,aka PTOS1,*Blepharoptosis
DOWLING-DEGOS DISEASE 1,Dowling-Degos Disease,C17.800.859,C16.320.850,C17.800.827,C17.800.621.430,,,,,,,,,,,,,,,,,,"An autosomal dominant genetically heterogeneous skin disorder characterized by reticular pigmentation, usually in a flexural distribution, or with numerous hypopigmented or erythematous macules and papules on the neck, chest, and abdomen. The histopathology of DDD shows characteristic thin branch-like patterns of epidermal downgrowth. Mutations in the KRT5 gene have been identified for DDD1. OMIM: 179850","*Skin Diseases, Papulosquamous;*Skin Diseases, Genetic;*Hyperpigmentation"
RETINITIS PIGMENTOSA 1,Retinitis pigmentosa 1,C11.270.684,C11.768.585.658.500,C16.320.290.684,,,,,,,,,,,,,,,,,,,,*Retinitis Pigmentosa
RETINITIS PIGMENTOSA 9,Retinitis Pigmentosa 9,C11.270.684,C11.768.585.658.500,C16.320.290.684,,,,,,,,,,,,,,,,,,,aka RP9; mutations in RP9,*Retinitis Pigmentosa
RETINITIS PIGMENTOSA 10,Retinitis Pigmentosa 10,C11.270.684,C11.768.585.658.500,C16.320.290.684,,,,,,,,,,,,,,,,,,,RP10 not included,*Retinitis Pigmentosa
"AXENFELD-RIEGER SYNDROME, TYPE 1",Axenfeld-Rieger syndrome,A09.371.060,C11.250,C16.131.384,,,,,,,,,,,,,,,,,,,"A spectrum of developmental abnormalities affecting the anterior segment of the eye. Blindness due to GLAUCOMA occurs in 50% of cases. Other anomalies include DENTAL ENAMEL HYPOPLASIA, failure of involution of periumbilical skin, and hypoplasia of the MAXILLARY BONE. Germline mutations have been identified in the PITX2 gene for Type I (OMIM: 180500) and the FOXC gene for Type 3 (OMIM: 602482).Type 2 has been mapped to chromosome 13 (OMIM: 601499)",Anterior Eye Segment/*abnormalities;*Eye Abnormalities
RING DERMOID OF CORNEA,Ring dermoid of cornea,C11.187,C11.204,C04.182.201,C04.557.465.910.250,,,,,,,,,,,,,,,,,,,*Conjunctival Diseases;*Corneal Diseases;*Dermoid Cyst
"ROBINOW SYNDROME, AUTOSOMAL DOMINANT","Robinow Syndrome, Autosomal Dominant",C05.660.585,C16.131.621.585,C12.706,C13.351.875,C16.131.939,C05.116.099.343,C16.320.240,C19.297,C05.660.207,C16.131.621.207,,,,,,,,,,,,,"*Limb Deformities, Congenital;*Urogenital Abnormalities;*Dwarfism;*Craniofacial Abnormalities"
ROBINOW-SORAUF SYNDROME,Robinow Sorauf syndrome,C05.116.099.370.894.232.015,C05.116.099.370.894.819.100,C05.660.207.240.100,C05.660.585.800.100,C05.660.906.364.100,C05.660.906.819.100,C16.131.621.207.240.100,C16.131.621.585.800.100,C16.131.621.906.364.100,C16.131.621.906.819.100,,,,,,,,,,,,,*Acrocephalosyndactylia
RUBINSTEIN-TAYBI SYNDROME 1,,,,,,,,,,,,,,,,,,,,,,,,
APLASIA OF LACRIMAL AND SALIVARY GLANDS,Aplasia of Lacrimal and Salivary Glands,A09.371.463,A10.336.422,A03.556.500.760,A10.336.779,A14.549.760,C07.465.815,C11.496,,,,,,,,,,,,,,,mutationin FGF10,Lacrimal Apparatus/*abnormalities;Salivary Glands/*abnormalities;*Salivary Gland Diseases;*Lacrimal Apparatus Diseases
"SALIVARY GLAND ADENOMA, PLEOMORPHIC","Salivary Gland Adenoma, Pleomorphic",C04.588.443.591.824,C07.465.565.824,C07.465.815.718,C04.557.435.090,C04.557.470.035.155,,,,,,,,,,,,,,,,,"The most common tumor of the human PAROTID GLAND. It is a benign, slow-growing tumor, but local recurrences are observed.  It can be caused by t(3;8)(p21;q12) translocations that result in a fusion between pleomorphic adenoma gene-1 (PLAG1) and the beta-1-catenin gene (CTNNB1) and the TCEA1 gene. OMIM: 181030","*Salivary Gland Neoplasms;*Adenoma, Pleomorphic"
SCALP-EAR-NIPPLE SYNDROME,Scalp ear nipple syndrome,A09.246.272,A01.456.810,C12.294.494.400,C12.706.516,C13.351.875.466,C16.131.939.516,A01.236.500,C10.597.613.575,C23.888.592.608.575,C16.131.077,,,,,,,,,,,,,"Ear, External/*abnormalities;Scalp/*abnormalities;*Hypospadias;Nipples/*abnormalities;*Muscle Hypotonia;*Abnormalities, Multiple"
"SCAPULOPERONEAL SYNDROME, NEUROGENIC, KAESER TYPE","Scapuloperoneal Syndrome, Neurogenic, Kaeser Type",C10.228.854.468,C10.574.562.500,C10.668.467.500,C10.574.500,C16.320.400,,,,,,,,,,,,,,,,,,"*Muscular Atrophy, Spinal;*Heredodegenerative Disorders, Nervous System"
"AMYOTROPHY, NEUROGENIC SCAPULOPERONEAL, NEW ENGLAND TYPE","Muscular Atrophy, Spinal",C10.228.854.468,C10.574.562.500,C10.668.467.500,,,,,,,,,,,,,,,,,,,"A group of disorders marked by progressive degeneration of motor neurons in the spinal cord resulting in weakness and muscular atrophy, usually without evidence of injury to the corticospinal tracts. Diseases in this category include Werdnig-Hoffmann disease and later onset 
SPINAL MUSCULAR ATROPHIES OF CHILDHOOD, most of which are hereditary. (Adams et al., Principles of Neurology, 6th ed, p1089);1988",
"SCAPULOPERONEAL MYOPATHY, MYH7-RELATED","Muscular Dystrophy, Emery-Dreifuss",C05.651.534.500.350,C10.668.491.175.500.350,C16.320.322.625,C16.320.577.350,,,,,,,,,,,,,,,,,,"A heterogenous group of inherited muscular dystrophy without the involvement of nervous system. The disease is characterized by 
MUSCULAR ATROPHY; 
MUSCLE WEAKNESS; 
CONTRACTURE of the elbows; 
ACHILLES TENDON; and posterior cervical muscles; with or without cardiac features. There are several 
INHERITANCE PATTERNS including X-linked (X 
CHROMOSOME), autosomal dominant, and autosomal recessive gene mutations.;2000; for MUSCULAR DYSTROPHY, SCAPULOPERONEAL use MUSCULAR DYSTROPHIES 2000-2004",
ULNAR-MAMMARY SYNDROME,Ulnar-mammary syndrome,C17.800.090,A02.835.232.087.090.850,C16.131.077,,,,,,,,,,,,,,,,,,,Schinzel syndrome 1 also available (C538177),"*Breast Diseases;Ulna/*abnormalities;*Abnormalities, Multiple"
SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME,Shprintzen Golberg craniosynostosis,C05.660.585.174,C16.131.621.585.174,C05.116.099.674,C14.240.400.725,C14.280.400.725,C16.131.077.550,C16.131.240.400.720,C16.320.540,C17.300.500,C05.116.099.370.894.232,C05.660.207.240,C05.660.906.364,C16.131.621.207.240,C16.131.621.906.364,,,,,,,,"An autosomal dominant disorder characterized by craniosynostosis, a marfanoid habitus, and skeletal, neurologic, cardiovascular, and connective tissue anomalies. There appears to be a characteristic FACIES involving HYPERTELORISM, downslanting palpebral fissures, high-arched palate, MICROGNATHIA, and low-set posteriorly rotated ears. Other commonly reported manifestations include MUSCLE HYPOTONIA, developmental delay, and inguinal or umbilical HERNIA; the most common skeletal manifestations are arachnodactyly, pectus deformity, camptodactyly, scoliosis, and joint hypermobility. Mutations in the SKI gene have been identified. OMIM: 182212",*Arachnodactyly;*Marfan Syndrome;*Craniosynostoses
SINGLETON-MERTEN SYNDROME,Singleton Merten syndrome,C05.116.198.579,C05.651,C10.668.491,C07.650.800.600,C07.793.700.600,C16.131.850.800.600,A01.378.800.667.572,C18.452.174.130.780,C14.907.109,C07.650.800.255,C07.793.700.255,C16.131.850.800.255,,,,,,,,,,"SM syndrome; ""Syndrome of widened medullary cavities of the metacarpals and phalanges, aortic calcification and abnormal dentition""; and ""Widened medullary cavities of bone, aortic calcification, abnormal dentition, and muscular weakness"" not included",*Osteoporosis;*Muscular Diseases;*Odontodysplasia;Metacarpus/*abnormalities;*Vascular Calcification;*Aortic Diseases;*Dental Enamel Hypoplasia
"SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT","Spastic paraplegia 3, autosomal dominant",C10.500.300.820,C10.574.500.495.820,C10.668.829.800.300.820,C16.131.666.300.820,C16.320.400.375.820,,,,,,,,,,,,,,,,,,"*Spastic Paraplegia, Hereditary"
"SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT","Spastic paraplegia 4, autosomal dominant",C10.500.300.820,C10.574.500.495.820,C10.668.829.800.300.820,C16.131.666.300.820,C16.320.400.375.820,,,,,,,,,,,,,,,,,,"*Spastic Paraplegia, Hereditary"
"SPHEROCYTOSIS, TYPE 1","Spherocytosis, Type 1",D12.776.124.080,D12.776.543.080,C15.378.071.141.150.785,C16.320.070.785,,,,,,,,,,,,,,,,,,"An autosomal dominant form of hereditary spherocytosis that is characterized by the presence of SPHEROCYTES on the peripheral blood smear. Patients often present with ANEMIA; JAUNDICE and SPLENOMEGALY, resulting in complications that may include CHOLELITHIASIS; HEMOLYSIS, and aplastic crises. Caused by mutations in the ANK1 gene. OMIM: 182900","Ankyrins/*deficiency;*Spherocytosis, Hereditary"
NEURAL TUBE DEFECTS,Neural Tube Defects,C10.500.680,C16.131.666.680,,,,,,,,,,,,,,,,,,,,"Congenital malformations of the central nervous system and adjacent structures related to defective neural tube closure during the first trimester of pregnancy generally occurring between days 18-29 of gestation. Ectodermal and mesodermal malformations (mainly involving the skull and vertebrae) may occur as a result of defects of neural tube closure. (From Joynt, Clinical Neurology, 1992, Ch55, pp31-41);1979; for DIASTEMATOMYELIA and TETHERED CORD SYNDROME use SPINA BIFIDA OCCULTA 1991-1999; for NEURENTERIC CYST use SPINA BIFIDA OCCULTA 1991-1999, use NEURAL TUBE DEFECTS 1979-1990",
SPONDYLOEPIPHYSEAL DYSPLASIA CONGENITA,"Spondyloepiphyseal dysplasia, congenita",C05.116.099.708,C16.320.728,,,,,,,,,,,,,,,,,,,,"An autosomal dominant osteochondrodysplasia characterized by disproportionate short stature (short trunk), abnormal EPIPHYSES, and flattened vertebral bodies. Skeletal features are manifested at birth and evolve with time. Other features include MYOPIA and/or RETINAL DEGENERATION with RETINAL DETACHMENT and CLEFT PALATE. Mutations in the COL2A1 gene have been identified. OMIM: 183900",Osteochondrodysplasias/*congenital
"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, STRUDWICK TYPE",Strudwick syndrome,C05.116.099.708,C16.320.728,,,,,,,,,,,,,,,,,,,,,*Osteochondrodysplasias
"SPONDYLOMETAPHYSEAL DYSPLASIA, KOZLOWSKI TYPE","Spondylometaphyseal dysplasia, Kozlowski type",C05.116.099.708,C16.320.728,,,,,,,,,,,,,,,,,,,,,*Osteochondrodysplasias
STAPES ANKYLOSIS WITH BROAD THUMB AND TOES,NOG-Related-Symphalangism Spectrum Disorder,C05.116.099.370.894,C05.660.906,C16.131.621.906,A02.835.232.043.300.710,A09.246.397.247.806,A02.835.232.087.319.150,C05.390.408,C05.660.585.988.425,C16.131.621.585.425,C05.330.495,C05.660.585.512.380,C16.131.621.585.380,,,,,,,,,,,"*Synostosis;Tarsal Bones/*abnormalities;Stapes/*abnormalities;Carpal Bones/*abnormalities;*Hand Deformities, Congenital;*Foot Deformities, Congenital"
"STICKLER SYNDROME, TYPE III","Stickler syndrome, type 3",C17.300,C05.550.114,,,,,,,,,,,,,,,,,,,,,*Connective Tissue Diseases;*Arthritis
STIFF SKIN SYNDROME,Stiff Skin Syndrome,C05.550.323,C05.651.197,C16.320.850,C17.800.827,,,,,,,,,,,,,,,,,,,"*Contracture;*Skin Diseases, Genetic"
OVERHYDRATED HEREDITARY STOMATOCYTOSIS,Stomatocytosis I,C16.320.565,C18.452.648,C18.452.076,C15.378.071.141.150,C16.320.070,A11.118.290.330,A11.443.240.330,A15.145.229.334.330,,,,,,,,,,,,,,,"*Metabolism, Inborn Errors;*Acid-Base Imbalance;*Anemia, Hemolytic, Congenital;Erythrocytes, Abnormal"
PSEUDOHYPERKALEMIA CARDIFF,Pseudohyperkalemia Cardiff,C18.452.950.396,,,,,,,,,,,,,,,,,,,,,,Hyperkalemia/*congenital
"SYMPHALANGISM, PROXIMAL, 1A",,,,,,,,,,,,,,,,,,,,,,,,
SYNPOLYDACTYLY 1,Synpolydactyly 1,A01.378.800.667.430,A01.378.610.250.300.792,C05.116.099.370.894.819,C05.660.585.800,C05.660.906.819,C16.131.621.585.800,C16.131.621.906.819,,,,,,,,,,,,,,,,Fingers/*abnormalities;Toes/*abnormalities;*Syndactyly
MULTIPLE SYNOSTOSES SYNDROME 1,NOG-Related-Symphalangism Spectrum Disorder,C05.116.099.370.894,C05.660.906,C16.131.621.906,A02.835.232.043.300.710,A09.246.397.247.806,A02.835.232.087.319.150,C05.390.408,C05.660.585.988.425,C16.131.621.585.425,C05.330.495,C05.660.585.512.380,C16.131.621.585.380,,,,,,,,,,,"*Synostosis;Tarsal Bones/*abnormalities;Stapes/*abnormalities;Carpal Bones/*abnormalities;*Hand Deformities, Congenital;*Foot Deformities, Congenital"
TARSAL-CARPAL COALITION SYNDROME,NOG-Related-Symphalangism Spectrum Disorder,C05.116.099.370.894,C05.660.906,C16.131.621.906,A02.835.232.043.300.710,A09.246.397.247.806,A02.835.232.087.319.150,C05.390.408,C05.660.585.988.425,C16.131.621.585.425,C05.330.495,C05.660.585.512.380,C16.131.621.585.380,,,,,,,,,,,"*Synostosis;Tarsal Bones/*abnormalities;Stapes/*abnormalities;Carpal Bones/*abnormalities;*Hand Deformities, Congenital;*Foot Deformities, Congenital"
BLAU SYNDROME,Blau syndrome,C05.550.870,C05.550.114,C11.941.879,,,,,,,,,,,,,,,,,,,"A rare hereditary disorder with autosomal dominant inheritance that is characterized by SKIN RASH; ARTHRITIS; and UVEITIS. Onset is typically in children under four years of age. SYNOVITIS, anterior UVEITIS, adhesion of the IRIS to the CORNEA, and permanent bending of the fingers and toes (camptodactyly) may also occur. A mutation in the NOD2 gene has been identified. OMIM: 186580",*Synovitis;*Arthritis;*Uveitis
"BLEEDING DISORDER, PLATELET-TYPE, 17",,,,,,,,,,,,,,,,,,,,,,,,
THROMBOCYTOPENIA 2,Thrombocytopenia chromosome breakage,C23.550.210.170,G05.355.180.210.170,G05.365.590.175.175,C16.131.260,C16.320.180,C15.378.140.855,,,,,,,,,,,,,,,,Familial thrombocytopenia associated with platelet autoantibodies and chromosome breakage,*Chromosome Breakage;*Chromosome Disorders;Thrombocytopenia/*congenital
THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE,Thrombophilia due to Activated Protein C Resistance,C15.378.100.100.037,C15.378.100.141.036,C15.378.925.050,C16.320.099.037,,,,,,,,,,,,,,,,,,"A hereditary autosomal dominant susceptibility for THROMBOSIS that is caused by mutations in the F5 gene, resulting in factor V resistant to cleavage and inactivation by activated PROTEIN C. OMIM: 188055",*Activated Protein C Resistance
"THYROTOXIC PERIODIC PARALYSIS, SUSCEPTIBILITY TO, 1",,,,,,,,,,,,,,,,,,,,,,,,
WITKOP SYNDROME,Witkop syndrome,C23.300.820,C07.650.800.100,C07.793.700.100,C16.131.850.800.100,,,,,,,,,,,,,,,,,,Autosomal dominant disorder characterized by nail dysplasia and congenitally missing permanent teeth; associated with mutations in the MSX1 gene,"*Nails, Malformed;*Anodontia"
PREECLAMPSIA/ECLAMPSIA 1,,,,,,,,,,,,,,,,,,,,,,,,
TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA,Esophageal atresia with or without tracheoesophageal fistula,C06.267.250.725,C06.405.117.367.725,C08.702.750,C08.907.863,C23.300.575.185.250.725,C06.198.330,C06.405.117.260,C16.131.314.330,,,,,,,,,,,,,,"Esophageal atresia and trachea and/or esophageal fistual  occur  in about 1 in 3,500 births. The molecular cause is unknown and may involve multiple genes. A deletion in chromosome 17 has been reported in one affected child. OMIM: 189960",*Tracheoesophageal Fistula;*Esophageal Atresia
TRICHODENTOOSSEOUS SYNDROME,Tricho-dento-osseous syndrome,C17.800.329,C05.660.207,C16.131.621.207,C07.650.800.255,C07.793.700.255,C16.131.850.800.255,,,,,,,,,,,,,,,,Enamel hypoplasia and hypocalcification with associated strikingly curly hair,*Hair Diseases;*Craniofacial Abnormalities;*Dental Enamel Hypoplasia
TRICHOMEGALY,,,,,,,,,,,,,,,,,,,,,,,,
"TRICHORHINOPHALANGEAL SYNDROME, TYPE I","Trichorhinophalangeal Syndrome, Type I",A01.378.800.667.430,A01.456.505.733,A04.531,A09.531,C05.116.099.708.582,C17.800.329,,,,,,,,,,,,,,,,"A hereditary autosomal dominant malformation syndrome characterized by distinctive craniofacial and skeletal abnormalities. TRPS I patients have sparse scalp hair, bulbous tip of the nose, long flat lip with a thin upper vermilion border, and protruding ears. Skeletal abnormalities include cone-shaped EPIPHYSES at the phalanges, hip malformations, and short stature. Mutations in the TRPS1 gene have been identified. OMIM: 190350",Fingers/*abnormalities;Nose/*abnormalities;*Langer-Giedion Syndrome;*Hair Diseases
